image_id,domain,mode,requested_coverage,pixel_coverage,region_coverage,selected_damage_rate,delivered_damage_fraction,hallucination_rate,psnr,ssim,lpips,dists,psnr_gain,ssim_gain,lpips_gain,dists_gain
bsds_147021,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,22.972200466757428,0.5366514325141907,0.5260441303253174,0.23215323686599731,-0.5994069177588699,0.004086017608642578,0.049053311347961426,0.0334201455116272
bsds_147021,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,23.571607384516298,0.5325654149055481,0.5750974416732788,0.2655733823776245,0.0,0.0,-0.0,-0.0
bsds_147021,synthetic_bsds,oracle_pixel,,0.3276209350975706,,,,,25.672243991570575,0.7247539162635803,0.2544953227043152,0.18547004461288452,2.100636607054277,0.19218850135803223,0.3206021189689636,0.08010333776473999
bsds_153077,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,26.80995562925578,0.8328089714050293,0.3070456087589264,0.13841617107391357,-2.4700630690175807,-0.02989441156387329,0.013585180044174194,0.03247189521789551
bsds_153077,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,29.28001869827336,0.8627033829689026,0.3206307888031006,0.17088806629180908,0.0,0.0,-0.0,-0.0
bsds_153077,synthetic_bsds,oracle_pixel,,0.13050433611181275,,,,,30.866301176654986,0.8956961631774902,0.15403254330158234,0.13549035787582397,1.5862824783816265,0.032992780208587646,0.16659824550151825,0.03539770841598511
bsds_159029,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,23.90674037564513,0.7684545516967773,0.21704022586345673,0.1366472840309143,-3.5361668885961244,-0.05765330791473389,-0.03226114809513092,0.026520490646362305
bsds_159029,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,27.442907264241253,0.8261078596115112,0.1847790777683258,0.1631677746772766,0.0,0.0,-0.0,-0.0
bsds_159029,synthetic_bsds,oracle_pixel,,0.27911736322951275,,,,,28.91890086459179,0.8890169858932495,0.09658853709697723,0.10307204723358154,1.475993600350538,0.06290912628173828,0.08819054067134857,0.06009572744369507
bsds_159045,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,14.343868039079002,0.4818089008331299,0.19934901595115662,0.14804130792617798,-0.1018338469818314,-0.025319457054138184,-0.031923383474349976,-0.0010055303573608398
bsds_159045,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,14.445701886060833,0.5071283578872681,0.16742563247680664,0.14703577756881714,0.0,0.0,-0.0,-0.0
bsds_159045,synthetic_bsds,oracle_pixel,,0.4603208528442173,,,,,15.138825521698664,0.48758506774902344,0.22230899333953857,0.15718519687652588,0.6931236356378303,-0.01954329013824463,-0.054883360862731934,-0.01014941930770874
bsds_159091,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,21.92584818143889,0.5773458480834961,0.4360917806625366,0.1738567352294922,-0.7997473635635579,-0.018981099128723145,0.016724199056625366,0.037875473499298096
bsds_159091,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,22.72559554500245,0.5963269472122192,0.452815979719162,0.21173220872879028,0.0,0.0,-0.0,-0.0
bsds_159091,synthetic_bsds,oracle_pixel,,0.32799010369103826,,,,,24.413316679569476,0.7418087124824524,0.25968438386917114,0.14984846115112305,1.6877211345670275,0.14548176527023315,0.19313159584999084,0.061883747577667236
bsds_164074,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,20.104003662962448,0.6646246910095215,0.38815245032310486,0.19070065021514893,-0.7437380266763185,-0.0063138604164123535,0.01375088095664978,0.035620927810668945
bsds_164074,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,20.847741689638767,0.6709385514259338,0.40190333127975464,0.22632157802581787,0.0,0.0,-0.0,-0.0
bsds_164074,synthetic_bsds,oracle_pixel,,0.32464815642385736,,,,,23.163907573618,0.8176849484443665,0.24300643801689148,0.1808646321296692,2.3161658839792345,0.14674639701843262,0.15889689326286316,0.04545694589614868
bsds_166081,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,24.136420905754772,0.5595448613166809,0.5510551333427429,0.20599573850631714,-1.6325154021261312,-0.03621858358383179,0.04709726572036743,0.044149696826934814
bsds_166081,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,25.768936307880903,0.5957634449005127,0.5981523990631104,0.25014543533325195,0.0,0.0,-0.0,-0.0
bsds_166081,synthetic_bsds,oracle_pixel,,0.2576537716724633,,,,,27.61029411227847,0.7389678359031677,0.22208023071289062,0.19369745254516602,1.8413578043975676,0.14320439100265503,0.3760721683502197,0.05644798278808594
bsds_176039,synthetic_bsds,oracle_budget_sse,0.5,0.48082590138664905,0.5,1.0,0.5,,26.424394355723855,0.7832663059234619,0.1975317895412445,0.1580127477645874,-2.1772718842952656,0.08602935075759888,0.08934816718101501,0.010896563529968262
bsds_176039,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,28.60166624001912,0.697236955165863,0.2868799567222595,0.16890931129455566,0.0,0.0,-0.0,-0.0
bsds_176039,synthetic_bsds,oracle_pixel,,0.594471538396772,,,,,31.803802745376327,0.918605387210846,0.04696429893374443,0.07714158296585083,3.202136505357206,0.2213684320449829,0.2399156577885151,0.09176772832870483
bsds_183055,synthetic_bsds,oracle_budget_sse,0.5,0.5322245322245323,0.5,1.0,0.5,,11.036934005808526,0.6008378863334656,0.24637645483016968,0.19495779275894165,-0.052615825181117515,-0.01937323808670044,-0.0469607412815094,0.0014204978942871094
bsds_183055,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,11.089549830989643,0.620211124420166,0.19941571354866028,0.19637829065322876,0.0,0.0,-0.0,-0.0
bsds_183055,synthetic_bsds,oracle_pixel,,0.47915492775305857,,,,,11.411585793145974,0.6207810044288635,0.2336401641368866,0.20138996839523315,0.3220359621563311,0.0005698800086975098,-0.03422445058822632,-0.0050116777420043945
bsds_187029,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,27.47949824311775,0.7594948410987854,0.2907349765300751,0.18875789642333984,-0.9444504733767438,-0.021739959716796875,-0.009669721126556396,0.019433915615081787
bsds_187029,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,28.423948716494493,0.7812348008155823,0.2810652554035187,0.20819181203842163,0.0,0.0,-0.0,-0.0
bsds_187029,synthetic_bsds,oracle_pixel,,0.27725209033620246,,,,,30.12748927847341,0.8514474630355835,0.1749802529811859,0.17991745471954346,1.7035405619789152,0.07021266222000122,0.10608500242233276,0.028274357318878174
bsds_188063,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,27.735817340997528,0.739942729473114,0.4047926962375641,0.25090277194976807,-0.07368020924918994,-0.0041803717613220215,0.028681784868240356,0.02047908306121826
bsds_188063,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,27.809497550246718,0.744123101234436,0.43347448110580444,0.27138185501098633,0.0,0.0,-0.0,-0.0
bsds_188063,synthetic_bsds,oracle_pixel,,0.27821063335082025,,,,,29.61983743513739,0.8271611928939819,0.18880541622638702,0.15696340799331665,1.8103398848906735,0.0830380916595459,0.24466906487941742,0.11441844701766968
bsds_198023,synthetic_bsds,oracle_budget_sse,0.5,0.5322245322245323,0.5,0.0,0.0,,19.37597610360911,0.7170894742012024,0.2850969433784485,0.20976614952087402,0.8140117252091876,0.10293889045715332,0.11754971742630005,0.03322380781173706
bsds_198023,synthetic_bsds,oracle_positive,,0.6269454213379447,0.75,0.0,0.0,,19.457770993382315,0.7259774208068848,0.26508405804634094,0.20487964153289795,0.8958066149823942,0.1118268370628357,0.1375626027584076,0.038110315799713135
bsds_198023,synthetic_bsds,oracle_pixel,,0.3785726776380982,,,,,22.38439799743078,0.8259502053260803,0.1306636482477188,0.16821777820587158,3.8224336190308605,0.21179962158203125,0.2719830125570297,0.0747721791267395
bsds_198054,synthetic_bsds,oracle_budget_sse,0.5,0.5322245322245323,0.5,1.0,0.5,,24.063160035524113,0.75086909532547,0.13048827648162842,0.140486478805542,-2.743987579258068,-0.026269853115081787,0.0675068199634552,0.028957009315490723
bsds_198054,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,26.80714761478218,0.7771389484405518,0.19799509644508362,0.16944348812103271,0.0,0.0,-0.0,-0.0
bsds_198054,synthetic_bsds,oracle_pixel,,0.42906457859728886,,,,,29.030652661049963,0.9019969701766968,0.0526176355779171,0.1237332820892334,2.223505046267782,0.12485802173614502,0.14537746086716652,0.045710206031799316
bsds_20008,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,11.804816804054532,0.5798632502555847,0.250320702791214,0.1723923683166504,-0.061133080899827164,-0.010575294494628906,-0.017427891492843628,0.00796496868133545
bsds_20008,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,11.86594988495436,0.5904385447502136,0.23289281129837036,0.18035733699798584,0.0,0.0,-0.0,-0.0
bsds_20008,synthetic_bsds,oracle_pixel,,0.4202498688479997,,,,,12.243542033342134,0.5773125886917114,0.24066534638404846,0.1935860514640808,0.3775921483877749,-0.013125956058502197,-0.007772535085678101,-0.01322871446609497
bsds_216041,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,23.442241981713202,0.5134564638137817,0.4702315628528595,0.27740633487701416,-1.8821775927097484,-0.032729506492614746,0.05796167254447937,0.03598034381866455
bsds_216041,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,25.32441957442295,0.5461859703063965,0.5281932353973389,0.3133866786956787,0.0,0.0,-0.0,-0.0
bsds_216041,synthetic_bsds,oracle_pixel,,0.35514018691588783,,,,,26.956763342103788,0.7167631387710571,0.23662500083446503,0.2085554003715515,1.6323437676808368,0.17057716846466064,0.29156823456287384,0.1048312783241272
bsds_225017,synthetic_bsds,oracle_budget_sse,0.5,0.4677754677754678,0.5,1.0,0.5,,21.42708562449309,0.6149834990501404,0.4278239607810974,0.2008122205734253,-0.14445762108550042,0.0012797713279724121,0.1005966067314148,0.05982649326324463
bsds_225017,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,21.57154324557859,0.613703727722168,0.5284205675125122,0.2606387138366699,0.0,0.0,-0.0,-0.0
bsds_225017,synthetic_bsds,oracle_pixel,,0.3330872209376882,,,,,23.734446925273556,0.7613268494606018,0.2292744219303131,0.1568371057510376,2.162903679694967,0.14762312173843384,0.2991461455821991,0.10380160808563232
bsds_23025,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,24.86915789827075,0.6854476928710938,0.437923789024353,0.17435282468795776,-1.6338840207240786,-0.05021095275878906,0.017077207565307617,0.04061281681060791
bsds_23025,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,26.50304191899483,0.7356586456298828,0.45500099658966064,0.21496564149856567,0.0,0.0,-0.0,-0.0
bsds_23025,synthetic_bsds,oracle_pixel,,0.2306332212874269,,,,,28.40554278232217,0.827965259552002,0.18426388502120972,0.14648985862731934,1.9025008633273401,0.09230661392211914,0.2707371115684509,0.06847578287124634
bsds_23080,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,25.067447237772527,0.6929441094398499,0.19655895233154297,0.15733277797698975,-3.3896963387670027,-0.04970121383666992,-0.018215596675872803,0.01717895269393921
bsds_23080,synthetic_bsds,oracle_positive,,0.0,0.0,,0.0,,28.45714357653953,0.7426453232765198,0.17834335565567017,0.17451173067092896,0.0,0.0,-0.0,-0.0
bsds_23080,synthetic_bsds,oracle_pixel,,0.37480327199953367,,,,,30.704774199785927,0.8638316988945007,0.07868441194295883,0.10725605487823486,2.2476306232463976,0.12118637561798096,0.09965894371271133,0.06725567579269409
bsds_231015,synthetic_bsds,oracle_budget_sse,0.5,0.20249221183800623,0.5,1.0,0.5,,11.537450886548225,0.5579639077186584,0.17975786328315735,0.167533278465271,-0.08669250260290084,-0.049137771129608154,-0.02826055884361267,-0.02555936574935913
