model_id,scope,target,variant,family,seed,domain,image_count,region_count,positive_count,roc_auc,roc_auc_defined_images,pr_auc,pr_auc_defined_images,balanced_accuracy,balanced_accuracy_defined_images,precision,precision_defined_images,recall,recall_defined_images,f1,f1_defined_images,accuracy,accuracy_defined_images,brier,brier_defined_images,ece,ece_defined_images
mixed_groupcv_psnr_benefit_V6_logistic_505,mixed_groupcv,psnr_benefit,V6,logistic,505,all,55,1160,13,0.4067308055083947,5,0.27700885208081394,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.0234836630303804,55,0.02452432337160142,55
mixed_groupcv_psnr_benefit_V6_logistic_505,mixed_groupcv,psnr_benefit,V6,logistic,505,real_csig,5,960,8,0.6834936804376532,2,0.03974435242425711,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.008310008284954344,5,0.008540702273515107,5
mixed_groupcv_psnr_benefit_V6_logistic_505,mixed_groupcv,psnr_benefit,V6,logistic,505,synthetic_bsds,50,200,5,0.22222222222222224,3,0.4351851851851851,3,0.5,3,0.0,50,0.0,50,0.0,50,0.975,50,0.025001028504923008,50,0.026122685481410043,50
mixed_groupcv_psnr_benefit_V6_mlp_505,mixed_groupcv,psnr_benefit,V6,mlp,505,all,55,1160,13,0.3958687040181098,5,0.2929226778539983,5,0.5,5,0.0,55,0.0,55,0.0,55,0.971969696969697,55,0.04413789749841928,55,0.13294751582568898,55
mixed_groupcv_psnr_benefit_V6_mlp_505,mixed_groupcv,psnr_benefit,V6,mlp,505,real_csig,5,960,8,0.6563384267119412,2,0.0378622501905512,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.014237703517087377,5,0.049006969284043106,5
mixed_groupcv_psnr_benefit_V6_mlp_505,mixed_groupcv,psnr_benefit,V6,mlp,505,synthetic_bsds,50,200,5,0.22222222222222224,3,0.46296296296296297,3,0.5,3,0.0,50,0.0,50,0.0,50,0.97,50,0.04712791689655247,50,0.14134157047985355,50
mixed_groupcv_psnr_benefit_V6_mlp_506,mixed_groupcv,psnr_benefit,V6,mlp,506,all,55,1160,13,0.3820996038483305,5,0.27456907473300873,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9674242424242425,55,0.05002006599126139,55,0.1608559309610097,55
mixed_groupcv_psnr_benefit_V6_mlp_506,mixed_groupcv,psnr_benefit,V6,mlp,506,real_csig,5,960,8,0.6219156762874929,2,0.033644909054744127,2,0.5,2,0.0,5,0.0,5,0.0,5,0.9916666666666668,5,0.015447383527901547,5,0.05675714907629299,5
mixed_groupcv_psnr_benefit_V6_mlp_506,mixed_groupcv,psnr_benefit,V6,mlp,506,synthetic_bsds,50,200,5,0.22222222222222224,3,0.4351851851851851,3,0.5,3,0.0,50,0.0,50,0.0,50,0.965,50,0.053477334237597374,50,0.17126580914948136,50
mixed_groupcv_psnr_benefit_V6_mlp_507,mixed_groupcv,psnr_benefit,V6,mlp,507,all,55,1160,13,0.5731748726655348,5,0.47645504288750196,5,0.5,5,0.0,55,0.0,55,0.0,55,0.9765151515151516,55,0.03941985240041372,55,0.11885289971181588,55
