model_id,image_id,domain,coverage,actual_patch_coverage,damage_rate,actual_pixel_coverage,pixel_weighted_damage_rate,selected_count,delivered_damage_fraction,hallucination_rate,psnr_gain,ssim_gain,lpips_gain,dists_gain,psnr_selected,ssim_selected,lpips_selected,dists_selected
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.4,0.5,1.0,0.20249221183800623,1.0,2,0.5,,-7.849946819921616,-0.07422462105751038,0.06676372140645981,0.009483367204666138,35.4730324059838,0.8641599118709564,0.1599915698170662,0.17714354395866394
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.5,0.5,1.0,0.20249221183800623,1.0,2,0.5,,-7.849946819921616,-0.07422462105751038,0.06676372140645981,0.009483367204666138,35.4730324059838,0.8641599118709564,0.1599915698170662,0.17714354395866394
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.6,0.75,1.0,0.5755467905000615,1.0,3,0.75,,-6.309444731779898,-0.1009661356608073,0.11317709585030873,0.03158456087112427,32.44490876335556,0.7916822036107382,0.18936780591805777,0.17936289310455322
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.7,0.75,1.0,0.5755467905000615,1.0,3,0.75,,-6.309444731779898,-0.1009661356608073,0.11317709585030873,0.03158456087112427,32.44490876335556,0.7916822036107382,0.18936780591805777,0.17936289310455322
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.8,1.0,1.0,1.0,1.0,4,1.0,,-5.5513061243446895,-0.0888238400220871,0.10113503411412239,0.045481204986572266,31.77618994549534,0.8180756121873856,0.17746354267001152,0.1776745468378067
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,0.9,1.0,1.0,1.0,1.0,4,1.0,,-5.5513061243446895,-0.0888238400220871,0.10113503411412239,0.045481204986572266,31.77618994549534,0.8180756121873856,0.17746354267001152,0.1776745468378067
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_106025,synthetic_bsds,1.0,1.0,1.0,1.0,1.0,4,1.0,,-5.5513061243446895,-0.0888238400220871,0.10113503411412239,0.045481204986572266,31.77618994549534,0.8180756121873856,0.17746354267001152,0.1776745468378067
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.1,0.25,1.0,0.3730545786620553,1.0,1,0.25,,-7.060978211253261,-0.31654390692710876,-0.06381593644618988,0.009450376033782959,19.716593629117256,0.47610095143318176,0.19451065361499786,0.16592389345169067
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.2,0.25,1.0,0.3730545786620553,1.0,1,0.25,,-7.060978211253261,-0.31654390692710876,-0.06381593644618988,0.009450376033782959,19.716593629117256,0.47610095143318176,0.19451065361499786,0.16592389345169067
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.3,0.5,1.0,0.7975077881619937,1.0,2,0.5,,-6.946645583810843,-0.3015875816345215,-0.0508345291018486,0.012744724750518799,19.744879624891226,0.4875851571559906,0.1891905665397644,0.1686376929283142
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.4,0.5,1.0,0.7975077881619937,1.0,2,0.5,,-6.946645583810843,-0.3015875816345215,-0.0508345291018486,0.012744724750518799,19.744879624891226,0.4875851571559906,0.1891905665397644,0.1686376929283142
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.5,0.5,1.0,0.7975077881619937,1.0,2,0.5,,-6.946645583810843,-0.3015875816345215,-0.0508345291018486,0.012744724750518799,19.744879624891226,0.4875851571559906,0.1891905665397644,0.1686376929283142
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.6,0.75,1.0,0.8922286772754062,1.0,3,0.75,,-7.122454037976005,-0.38197454810142517,-0.07938862591981888,-0.02198648452758789,19.427813599819988,0.42100609342257184,0.19511334598064423,0.1841742992401123
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.7,0.75,1.0,0.8922286772754062,1.0,3,0.75,,-7.122454037976005,-0.38197454810142517,-0.07938862591981888,-0.02198648452758789,19.427813599819988,0.42100609342257184,0.19511334598064423,0.1841742992401123
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.8,1.0,1.0,1.0,1.0,4,1.0,,-7.130819523390983,-0.42442359030246735,-0.11394729651510715,-0.0414355993270874,19.62664850690718,0.3813169002532959,0.2280147634446621,0.19966760277748108
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,0.9,1.0,1.0,1.0,1.0,4,1.0,,-7.130819523390983,-0.42442359030246735,-0.11394729651510715,-0.0414355993270874,19.62664850690718,0.3813169002532959,0.2280147634446621,0.19966760277748108
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_112082,synthetic_bsds,1.0,1.0,1.0,1.0,1.0,4,1.0,,-7.130819523390983,-0.42442359030246735,-0.11394729651510715,-0.0414355993270874,19.62664850690718,0.3813169002532959,0.2280147634446621,0.19966760277748108
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.1,0.25,1.0,0.10777132272459375,1.0,1,0.25,,-0.39365186324920387,-0.2566368579864502,-0.11539147794246674,-0.03966498374938965,10.45730709248814,0.5224931836128235,0.23054268956184387,0.21319270133972168
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.2,0.25,1.0,0.10777132272459375,1.0,1,0.25,,-0.39365186324920387,-0.2566368579864502,-0.11539147794246674,-0.03966498374938965,10.45730709248814,0.5224931836128235,0.23054268956184387,0.21319270133972168
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.3,0.5,1.0,0.48082590138664905,1.0,2,0.5,,-0.289171035262231,-0.20550113916397095,-0.1001763716340065,-0.061512112617492676,10.743295554190855,0.468514084815979,0.2430194914340973,0.241187185049057
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.4,0.5,1.0,0.48082590138664905,1.0,2,0.5,,-0.289171035262231,-0.20550113916397095,-0.1001763716340065,-0.061512112617492676,10.743295554190855,0.468514084815979,0.2430194914340973,0.241187185049057
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.5,0.5,1.0,0.48082590138664905,1.0,2,0.5,,-0.289171035262231,-0.20550113916397095,-0.1001763716340065,-0.061512112617492676,10.743295554190855,0.468514084815979,0.2430194914340973,0.241187185049057
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.6,0.75,1.0,0.5755467905000615,1.0,3,0.75,,-0.25137163366131254,-0.20262839396794638,-0.09911973526080449,-0.0689997673034668,10.67961299316385,0.44785869121551514,0.22483410437901816,0.24348302682240805
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.7,0.75,1.0,0.5755467905000615,1.0,3,0.75,,-0.25137163366131254,-0.20262839396794638,-0.09911973526080449,-0.0689997673034668,10.67961299316385,0.44785869121551514,0.22483410437901816,0.24348302682240805
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.8,1.0,1.0,1.0,1.0,4,1.0,,-0.22540685629070234,-0.19571052491664886,-0.08716045506298542,-0.06584294140338898,10.435206918775748,0.46638767421245575,0.22531943023204803,0.23425254225730896
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,0.9,1.0,1.0,1.0,1.0,4,1.0,,-0.22540685629070234,-0.19571052491664886,-0.08716045506298542,-0.06584294140338898,10.435206918775748,0.46638767421245575,0.22531943023204803,0.23425254225730896
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_138078,synthetic_bsds,1.0,1.0,1.0,1.0,1.0,4,1.0,,-0.22540685629070234,-0.19571052491664886,-0.08716045506298542,-0.06584294140338898,10.435206918775748,0.46638767421245575,0.22531943023204803,0.23425254225730896
mixed_groupcv_psnr_benefit_V1_logistic_505,bsds_140055,synthetic_bsds,0.1,0.25,1.0,0.09472088911341248,1.0,1,0.25,,-5.359357544796691,-0.22672519087791443,0.04365876317024231,-0.03354990482330322,19.33734463850113,0.36854127049446106,0.24673229455947876,0.2514965534210205
