image_id,scene_id,domain,region_index,psnr_lq,psnr_restored,ssim_lq,ssim_restored,lpips_lq,lpips_restored,dists_lq,dists_restored,psnr_gain,ssim_gain,lpips_gain,dists_gain,four_metric_majority,psnr_benefit
case1,case1,real_csig,31,44.20492311967248,38.002558752618285,0.9969223141670227,0.8868054151535034,0.022878648713231087,0.41212037205696106,0.0841723084449768,0.32412099838256836,-6.202364367054194,-0.11011689901351929,-0.38924172334373,-0.23994868993759155,0,0
case1,case1,real_csig,32,26.83621049051196,25.118138967298638,0.8700040578842163,0.753204882144928,0.14582495391368866,0.4846348762512207,0.20659232139587402,0.3143433928489685,-1.7180715232133217,-0.11679917573928833,-0.33880992233753204,-0.10775107145309448,0,0
case1,case1,real_csig,33,26.67612067207253,24.72208427562878,0.8477134108543396,0.7302510738372803,0.1925908327102661,0.5041279792785645,0.2350289225578308,0.3228660225868225,-1.9540363964437475,-0.11746233701705933,-0.31153714656829834,-0.0878371000289917,0,0
case1,case1,real_csig,34,29.700911601072555,26.941772019292376,0.9112585186958313,0.8202136158943176,0.1016773134469986,0.4199882745742798,0.19229501485824585,0.3484935760498047,-2.759139581780179,-0.09104490280151367,-0.3183109611272812,-0.15619856119155884,0,0
case1,case1,real_csig,35,27.817222427261154,24.181417580292532,0.8801454305648804,0.7511298656463623,0.16320577263832092,0.4502435028553009,0.22690391540527344,0.3560657501220703,-3.6358048469686217,-0.12901556491851807,-0.28703773021698,-0.12916183471679688,0,0
case1,case1,real_csig,36,25.81403125658509,21.37250294026977,0.8217166662216187,0.6706353425979614,0.2487042248249054,0.6107802391052246,0.254192590713501,0.36978060007095337,-4.4415283163153205,-0.15108132362365723,-0.3620760142803192,-0.11558800935745239,0,0
case1,case1,real_csig,37,26.46206722885391,22.869561003512928,0.8274470567703247,0.7081300616264343,0.19495540857315063,0.5351779460906982,0.23685109615325928,0.3628312349319458,-3.5925062253409834,-0.11931699514389038,-0.3402225375175476,-0.12598013877868652,0,0
case1,case1,real_csig,38,27.187113457641196,26.192434412381257,0.85189288854599,0.7654900550842285,0.16385650634765625,0.46866124868392944,0.23654061555862427,0.31554675102233887,-0.9946790452599394,-0.08640283346176147,-0.3048047423362732,-0.0790061354637146,0,0
case1,case1,real_csig,39,26.670035124079874,25.75344104477367,0.8496042490005493,0.7548040747642517,0.20455974340438843,0.50307297706604,0.23825675249099731,0.3109935522079468,-0.9165940793062042,-0.09480017423629761,-0.2985132336616516,-0.07273679971694946,0,0
case1,case1,real_csig,40,26.815753263888666,25.413795702476285,0.8298501968383789,0.7203916907310486,0.22994214296340942,0.5808624625205994,0.246299147605896,0.31948286294937134,-1.401957561412381,-0.10945850610733032,-0.35092031955718994,-0.07318371534347534,0,0
