image_id,scene_id,domain,scene_category,width,height,region_count,psnr_lq,psnr_restored,ssim_lq,ssim_restored,lpips_lq,lpips_restored,dists_lq,dists_restored,psnr_gain,ssim_gain,lpips_gain,dists_gain,candidate_sha256
bsds_25098,bsds_25098,synthetic_bsds,unreviewed_natural_scene,321,481,4,12.726098851712253,12.479325443161041,0.5802878141403198,0.45241761207580566,0.13294373452663422,0.26867207884788513,0.15994036197662354,0.21503639221191406,-0.24677340855121166,-0.12787020206451416,-0.13572834432125092,-0.05509603023529053,363b19bb6ce4dfcca7643731ed5c6393ac4e1df2b07c09876b7c0c5bb66ebbc0
bsds_253036,bsds_253036,synthetic_bsds,unreviewed_natural_scene,481,321,4,28.876674021933578,26.281983775927277,0.8440128564834595,0.8289637565612793,0.26497864723205566,0.14629895985126495,0.23066246509552002,0.189386248588562,-2.5946902460063015,-0.015049099922180176,0.11867968738079071,0.04127621650695801,9e063df83700147e6e53d13bd0f54e77d47e602fc3488b9ae1393b0ab71b69d0
bsds_254054,bsds_254054,synthetic_bsds,unreviewed_natural_scene,321,481,4,21.336010704983003,18.111745064837518,0.4261261224746704,0.3287166953086853,0.7237355709075928,0.26666849851608276,0.28559547662734985,0.17171508073806763,-3.224265640145486,-0.09740942716598511,0.45706707239151,0.11388039588928223,c71326033712c18a88d9a2544c04aa836349d6b6f9f350144b0ae6f72167c0c9
bsds_27059,bsds_27059,synthetic_bsds,unreviewed_natural_scene,321,481,4,25.128737585628702,21.533957806002064,0.6836894750595093,0.5744548439979553,0.47598743438720703,0.24072548747062683,0.2357041835784912,0.1450033187866211,-3.594779779626638,-0.10923463106155396,0.2352619469165802,0.09070086479187012,57318e577aa21c7815e64614864aaa6c18c3299ad158ef636d60c4da676e50bf
bsds_271008,bsds_271008,synthetic_bsds,unreviewed_natural_scene,481,321,4,29.00491572349619,23.289190394791635,0.7627479434013367,0.6943185329437256,0.24543263018131256,0.19394445419311523,0.18225163221359253,0.13936442136764526,-5.715725328704554,-0.06842941045761108,0.05148817598819733,0.042887210845947266,ea820cb7cf94af520bfe1d2fb7974c7f52317c23fc55de98f6b9996f4b4bfc1f
bsds_274007,bsds_274007,synthetic_bsds,unreviewed_natural_scene,321,481,4,11.985782417135137,11.352237827556644,0.6173533797264099,0.2966209948062897,0.17575989663600922,0.38615402579307556,0.15007644891738892,0.20696407556533813,-0.6335445895784932,-0.32073238492012024,-0.21039412915706635,-0.05688762664794922,984779c580aa15a9b1c5264ffcc193a1fdfd512e001c1799ab405d6f5ec2c9a5
bsds_286092,bsds_286092,synthetic_bsds,unreviewed_natural_scene,481,321,4,26.890030449507414,23.011069053972122,0.6774417161941528,0.6009389162063599,0.35806185007095337,0.2149883508682251,0.24320024251937866,0.13369691371917725,-3.878961395535292,-0.07650279998779297,0.14307349920272827,0.10950332880020142,2905ae8019d10d078aeaf62dfc073823031a847d24d94043e0824d95241d4416
bsds_309004,bsds_309004,synthetic_bsds,unreviewed_natural_scene,481,321,4,21.329928569703938,18.629224846421696,0.3137231767177582,0.2395317554473877,0.8828906416893005,0.37855228781700134,0.3054088354110718,0.2202291488647461,-2.700703723282242,-0.07419142127037048,0.5043383538722992,0.08517968654632568,6ff354826f5bacef0387961cd41d52948b71f9b4e2c201c85f701ccb88a08859
bsds_311081,bsds_311081,synthetic_bsds,unreviewed_natural_scene,321,481,4,20.24124789032531,17.6837865100886,0.4175049066543579,0.33378592133522034,0.6270799040794373,0.35289859771728516,0.27122730016708374,0.17611217498779297,-2.557461380236713,-0.08371898531913757,0.2741813063621521,0.09511512517929077,139133f23cb9473cb592f0aa3096160c6cd88ed2f4928347e017348c3c04cead
bsds_314016,bsds_314016,synthetic_bsds,unreviewed_natural_scene,481,321,4,28.55861236832817,19.58974158245539,0.8108472228050232,0.4361116290092468,0.24607005715370178,0.25678372383117676,0.2135401964187622,0.22298872470855713,-8.968870785872781,-0.37473559379577637,-0.010713666677474976,-0.009448528289794922,74719c897162c550ea08a769006676cb702be50d0dff0b6f670fff4f9e2c2585
