model_id,scope,target,variant,family,seed,image_id,domain,roc_auc,pr_auc,balanced_accuracy,precision,recall,f1,accuracy,brier,ece,positive_count,region_count
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_76002,synthetic_bsds,,,,0.0,0.0,0.0,1.0,8.044402110803775e-08,0.0002622711292468474,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_80099,synthetic_bsds,,,,0.0,0.0,0.0,1.0,6.423370196445984e-08,0.00018315696860561614,0,4
mixed_groupcv_psnr_benefit_V1_logistic_505,mixed_groupcv,psnr_benefit,V1,logistic,505,bsds_92059,synthetic_bsds,,,,0.0,0.0,0.0,1.0,3.0204519256943035e-07,0.00047200349420586376,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,case1,real_csig,,,,0.0,0.0,0.0,1.0,0.020693598981004122,0.1375917597518613,0,192
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,case2,real_csig,0.7868421052631579,0.03522727272727273,0.5,0.0,0.0,0.0,0.9895833333333334,0.029490726058545195,0.13107472974418974,2,192
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,case3,real_csig,,,,0.0,0.0,0.0,1.0,0.03453948088918916,0.1665509738959372,0,192
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,case4,real_csig,,,,0.0,0.0,0.0,1.0,0.03897975468633832,0.19125555447923642,0,192
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,case5,real_csig,0.3333333333333333,0.025804176038529025,0.5,0.0,0.0,0.0,0.96875,0.06205967328256546,0.15950147229402017,6,192
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_100098,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.057295951798282785,0.22499623522162437,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_106025,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.08449259967842204,0.28819893300533295,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_112082,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.023788967069780342,0.15149113908410072,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_138078,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.05700523230110838,0.23268785700201988,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_140055,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.08129430794899611,0.283883947879076,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_147021,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.09595700917158512,0.29888178408145905,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_153077,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.038438672123327744,0.19491100311279297,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_159029,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.06585656415634733,0.2522324249148369,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_159045,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.062085715452218526,0.2437964826822281,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_159091,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.027044346919869622,0.16294344887137413,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_164074,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.09390696994588327,0.2928269989788532,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_166081,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.008093347985838911,0.08851123228669167,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_176039,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.12775457534510237,0.3537466451525688,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_183055,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.040495296874394016,0.19538133591413498,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_187029,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.03385622311543951,0.1833280585706234,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_188063,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.06059476243254247,0.2430860847234726,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_198023,synthetic_bsds,0.3333333333333333,0.8055555555555556,0.5,0.0,0.0,0.0,0.25,0.49723600974656185,0.6596692390739918,3,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_198054,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.13828503862501546,0.3570174314081669,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_20008,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.08099820143449793,0.27972444519400597,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_216041,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.03145211580585977,0.17638329789042473,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_225017,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.05353797632735324,0.22626284509897232,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_23025,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.03773979118620013,0.19152983650565147,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_23080,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.034110424094698666,0.1756787821650505,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_231015,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.011342817828180432,0.10153876058757305,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_236017,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.12608721252864497,0.3475099354982376,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_245051,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.07490024209946605,0.2669554762542248,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_246016,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.030581153723226284,0.16911185160279274,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_249061,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.040170712247487195,0.200127262622118,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_25098,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.07502565146823842,0.2645915187895298,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_253036,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.06930371854974182,0.2628912851214409,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_254054,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.03682772063762607,0.18771912157535553,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_27059,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.03710471857906722,0.18601135537028313,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_271008,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.007274582608732566,0.07731443643569946,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_274007,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.06051636300665353,0.2399083450436592,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_286092,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.14618746008005035,0.37797392904758453,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_309004,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.07085727824021038,0.25641804188489914,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_311081,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.03540718916558677,0.18241329863667488,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_314016,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.08749912322120218,0.2945372499525547,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_323016,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.05627869790354689,0.23380175232887268,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_368078,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.04260198291364037,0.20076123625040054,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_374020,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.034769302686278813,0.18416596576571465,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_385028,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.052700551368857484,0.22426283732056618,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_41004,synthetic_bsds,0.6666666666666667,0.5,0.5,0.0,0.0,0.0,0.75,0.19250135403406404,0.10638036951422691,1,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_45077,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.12825406292710295,0.35729850083589554,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_46076,synthetic_bsds,0.6666666666666667,0.5,0.5,0.0,0.0,0.0,0.75,0.19169314773576174,0.14060290157794952,1,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_59078,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.08183522209545246,0.264356791973114,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_61086,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.0536949598778787,0.22482411935925484,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_76002,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.02556192848524852,0.15674787759780884,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_80099,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.03777319424348963,0.1887696348130703,0,4
mixed_groupcv_psnr_benefit_V1_mlp_505,mixed_groupcv,psnr_benefit,V1,mlp,505,bsds_92059,synthetic_bsds,,,,0.0,0.0,0.0,1.0,0.058379315318908664,0.21778414770960808,0,4
mixed_groupcv_psnr_benefit_V1_mlp_506,mixed_groupcv,psnr_benefit,V1,mlp,506,case1,real_csig,,,,0.0,0.0,0.0,1.0,0.00396958194010596,0.05959953274577856,0,192
mixed_groupcv_psnr_benefit_V1_mlp_506,mixed_groupcv,psnr_benefit,V1,mlp,506,case2,real_csig,0.7631578947368421,0.03194444444444444,0.5,0.0,0.0,0.0,0.9895833333333334,0.0178575617971196,0.07887851497313629,2,192
